,comName,date,lat,lng,locId,sciName,subId
13693,Eurasian Jay,2023-06-02,43.8145484,3.7618561,L24764432,Garrulus glandarius,S140244869
13694,Tawny Pipit,2023-06-02,43.8145484,3.7618561,L24764432,Anthus campestris,S140244869
13695,Wood Lark,2023-06-02,43.8145484,3.7618561,L24764432,Lullula arborea,S140244869
13696,Melodious Warbler,2023-06-02,43.8145484,3.7618561,L24764432,Hippolais polyglotta,S140244869
13697,European Bee-eater,2023-06-02,43.8145484,3.7618561,L24764432,Merops apiaster,S140244869
13698,Corn Bunting,2023-06-02,43.8145484,3.7618561,L24764432,Emberiza calandra,S140244869
13699,Rufous-tailed Scrub-Robin,2023-06-02,37.0430967,-2.4063283,L24880469,Cercotrichas galactotes,S140235771
13700,Common Chiffchaff,2023-06-02,37.0430967,-2.4063283,L24880469,Phylloscopus collybita,S140235771
13701,White-tailed Eagle,2023-06-02,54.6407395,8.6328189,L13430893,Haliaeetus albicilla,S140246236
13702,Eurasian Marsh-Harrier,2023-06-02,54.6407395,8.6328189,L13430893,Circus aeruginosus,S140246236
13703,Greater Whitethroat,2023-06-02,51.48951,7.5119381,L3158314,Curruca communis,S140236316
13704,Red-backed Shrike,2023-06-02,51.2550997,12.3670156,L14068868,Lanius collurio,S140242962
13705,Reed Bunting,2023-06-02,51.2550997,12.3670156,L14068868,Emberiza schoeniclus,S140242962
13706,Tree Pipit,2023-06-02,51.2550997,12.3670156,L14068868,Anthus trivialis,S140242962
13707,Common Reed Warbler,2023-06-02,51.2550997,12.3670156,L14068868,Acrocephalus scirpaceus,S140242962
13708,Mediterranean Short-toed Lark,2023-06-02,41.654255,-1.1181033,L23980516,Alaudala rufescens,S140237361
13709,Tawny Owl,2023-06-02,45.8112042,8.2639168,L8159158,Strix aluco,S140240075
13710,Song Thrush,2023-06-02,45.8112042,8.2639168,L8159158,Turdus philomelos,S140240075
13711,Pied Avocet,2023-06-02,38.8743021,1.3926725,L5223274,Recurvirostra avosetta,S140243135
13712,Little Ringed Plover,2023-06-02,38.8743021,1.3926725,L5223274,Charadrius dubius,S140243135
13713,Great Tit,2023-06-02,45.8112042,8.2639168,L8159158,Parus major,S140240075
13714,Common Shelduck,2023-06-02,38.8743021,1.3926725,L5223274,Tadorna tadorna,S140243135
13715,Gray Heron,2023-06-02,45.8112042,8.2639168,L8159158,Ardea cinerea,S140240075
13716,Woodchat Shrike,2023-06-02,38.8743021,1.3926725,L5223274,Lanius senator,S140243135
13717,Eurasian Tree Sparrow,2023-06-02,45.8112042,8.2639168,L8159158,Passer montanus,S140240075
13718,Long-tailed Tit,2023-06-02,45.8112042,8.2639168,L8159158,Aegithalos caudatus,S140240075
13719,Short-toed Treecreeper,2023-06-02,45.8112042,8.2639168,L8159158,Certhia brachydactyla,S140240075
13720,Italian Sparrow,2023-06-02,45.8112042,8.2639168,L8159158,Passer italiae,S140240075
13721,Eurasian Sparrowhawk,2023-06-02,45.8112042,8.2639168,L8159158,Accipiter nisus,S140240075
13722,White Wagtail,2023-06-02,45.8112042,8.2639168,L8159158,Motacilla alba,S140240075
13723,Eurasian Blackcap,2023-06-02,45.8112042,8.2639168,L8159158,Sylvia atricapilla,S140240075
13724,Black Redstart,2023-06-02,45.8112042,8.2639168,L8159158,Phoenicurus ochruros,S140240075
13725,Eurasian Crag-Martin,2023-06-02,45.8112042,8.2639168,L8159158,Ptyonoprogne rupestris,S140240075
13726,European Goldfinch,2023-06-02,45.8112042,8.2639168,L8159158,Carduelis carduelis,S140240075
13727,Eurasian Jay,2023-06-02,45.8112042,8.2639168,L8159158,Garrulus glandarius,S140240075
13728,Eurasian Wren,2023-06-02,45.8112042,8.2639168,L8159158,Troglodytes troglodytes,S140240075
13729,Eurasian Blue Tit,2023-06-02,45.8112042,8.2639168,L8159158,Cyanistes caeruleus,S140240075
13730,Common House-Martin,2023-06-02,45.8112042,8.2639168,L8159158,Delichon urbicum,S140240075
13731,Eurasian Nuthatch,2023-06-02,45.8112042,8.2639168,L8159158,Sitta europaea,S140240075
13732,Carrion Crow,2023-06-02,45.8112042,8.2639168,L8159158,Corvus corone,S140240075
13733,Marsh Tit,2023-06-02,45.8112042,8.2639168,L8159158,Poecile palustris,S140240075
13734,Common Buzzard,2023-06-02,45.8112042,8.2639168,L8159158,Buteo buteo,S140240075
13735,Eurasian Tree Sparrow,2023-06-02,48.171669,11.8072796,L19305423,Passer montanus,S140249050
13736,Eurasian Kestrel,2023-06-02,49.4243304,8.5836251,L12017923,Falco tinnunculus,S140239694
13737,Common Redstart,2023-06-02,49.4243304,8.5836251,L12017923,Phoenicurus phoenicurus,S140239694
13738,Lesser Whitethroat,2023-06-02,49.4243304,8.5836251,L12017923,Curruca curruca,S140239694
13739,Monk Parakeet,2023-06-02,37.661521,-1.012568,L23569232,Myiopsitta monachus,S140234519
13740,Common Ringed Plover,2023-06-02,47.8370248,-4.3533432,L3214375,Charadrius hiaticula,S140235776
13741,Rock Pipit,2023-06-02,47.8370248,-4.3533432,L3214375,Anthus petrosus,S140235776
13742,European Goldfinch,2023-06-02,52.3301509,5.2684782,L24884503,Carduelis carduelis,S140252503
13743,Great Crested Grebe,2023-06-02,52.3301509,5.2684782,L24884503,Podiceps cristatus,S140252503
13744,Sanderling,2023-06-02,47.8370248,-4.3533432,L3214375,Calidris alba,S140235776
13745,Great Egret,2023-06-02,52.3301509,5.2684782,L24884503,Ardea alba,S140252503
13746,Northern Lapwing,2023-06-02,52.3301509,5.2684782,L24884503,Vanellus vanellus,S140252503
13747,Montagu's Harrier,2023-06-02,42.5030469,-3.0610657,L4799578,Circus pygargus,S140233631
13748,Lesser Black-backed Gull,2023-06-02,50.1074063,8.6832294,L20578264,Larus fuscus,S140255687
13749,Eurasian Hobby,2023-06-02,42.5030469,-3.0610657,L4799578,Falco subbuteo,S140233631
13750,Great Crested Grebe,2023-06-02,42.5030469,-3.0610657,L4799578,Podiceps cristatus,S140233631
13751,Stock Dove,2023-06-02,50.1074063,8.6832294,L20578264,Columba oenas,S140255687
13752,Yellow-legged Gull,2023-06-02,50.1074063,8.6832294,L20578264,Larus michahellis,S140255687
13753,White Stork,2023-06-02,52.3224087,4.5684789,L24883716,Ciconia ciconia,S140249392
13754,Eurasian Oystercatcher,2023-06-02,52.3224087,4.5684789,L24883716,Haematopus ostralegus,S140249392
13755,Bonelli's Eagle,2023-06-02,38.3362563,-1.079826,L24881139,Aquila fasciata,S140238628
13756,Common Redshank,2023-06-02,53.6075162,8.3243194,L7872483,Tringa totanus,S140239947
13757,Gray Wagtail,2023-06-02,44.6140004,8.717527,L24880052,Motacilla cinerea,S140233889
